"","SECTION_DESCR","PARAGRAPH_DESCR","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR"
"1","Oral nutrition","Infant formula - Premature","0913111A0","Powder preterm infant formula (0913111)"
"2","Oral nutrition","Non-ACBS gluten free food","0913461C0","Specialist food replacer OTC/disc flour type mixes (0913461)"
"3","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030V0","Abatacept"
"4","Cough preparations","Cough suppressants","0309010C0","Codeine phosphate"
"5","Corticosteroids (endocrine)","Replacement therapy","0603010I0","Fludrocortisone acetate"
"6","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803041S0","Tamoxifen citrate"
"7","Antibacterial drugs","Macrolides","0501050B0","Clarithromycin"
"8","Vaccines and antisera","Vaccines and antisera","1404000G0","Hepatitis B"
"9","Local preparations for anal and rectal disorders","Management of anal fissures","0107040B0","Nifedipine"
"10","Miscellaneous ophthalmic preparations","Tear deficiency, eye lubricant and astringent","1108010Q0","Polyvinyl alcohol"
"11","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010T0","Selegiline hydrochloride"
"12","Cellulose Wadding BP 1988","Cellulose Wadding BP 1988","2018","Cellulose Wadding BP 1988"
"13","Antibacterial drugs","Some other antibacterials","0501070N0","Sodium fusidate"
"14","Cough preparations","Expectorant and demulcent cough preparations","0309020AC","Guaiacol and codeine"
"15","Surgical Adhesive Tape","Surgical Adhesive Tape","2010","Surgical Adhesive Tape"
"16","Oral nutrition","Non-ACBS Inherited metabolic disorder - Protein source","0913621A0","Powder 10g GMP protein equivalent (0913621)"
"17","Oral nutrition","Inherited metabolic disorder - Protein source","0913204C0","Powder 20g protein equivalent (0913204)"
"18","Drugs acting on the oropharynx","Oropharyngeal anti-infective drugs","1203020P0","Minocycline hydrochloride"
"19","Antihistamines, hyposensitisation and allergic emergencies","Allergic emergencies","0304030H0","Icatibant acetate"
"20","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000B0","Acebutolol hydrochloride with diuretic"
"21","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000AA","Doxylamine succinate/pyridoxine hydrochloride"
"22","Antiplatelet drugs","Antiplatelet drugs","0209000W0","Abciximab"
"23","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","1108020L0","Glycerol"
"24","Antifungal drugs","Triazole antifungals","0502010E0","Isavuconazole"
"25","Antiviral drugs","HIV infection","0503010AM","Emtricitabine and tenofovir alafenamide"
"26","Dyspepsia and gastro-oesophageal reflux disease","Antacids and simeticone","0101010F0","Magnesium carbonate"
"27","Antibacterial drugs","Metronidazole, tinidazole and ornidazole","0501110C0","Metronidazole"
"28","Emollient and barrier preparations","Emollients","1302010K0","Lactic acid"
"29","Drugs acting on the nose","Topical nasal decongestants","1202020G0","Oxymetazoline hydrochloride"
"30","Antibacterial drugs","Quinolones","0501120N0","Nalidixic acid"
"31","Oral nutrition","Inherited metabolic disorder - Protein source (paed)","0913222A0","Powder 5g protein equivalent (0913222)"
"32","Hypertension and heart failure","Renin-angiotensin system drugs","0205052I0","Irbesartan"
"33","Antibacterial drugs","Tetracyclines","0501030P0","Minocycline hydrochloride"
"34","Oral nutrition","Non-ACBS ONS","0913311D0","Ready to serve 1.5 kcal/ml milkshake (0913311)"
"35","Sex Hormones","Anabolic steroids","0604030P0","Oxandrolone"
"36","Oral nutrition","Inherited metabolic disorder - Protein source (paed)","0913221C0","Powder 80g protein equivalent per 100g (0913221)"
"37","Antiprotozoal drugs","Antimalarials","0504010P0","Pyrimethamine with sulfadoxine"
"38","Minerals","Calcium and magnesium","0905012H0","Trisodium edetate"
"39","Preparations for warts and calluses","Preparations for warts and calluses","1307000V0","Imiquimod"
"40","Antiperspirants","Antiperspirants","1312000C0","Aluminium chloride"
"41","Antidepressant drugs","Other antidepressant drugs","040304000","Other antidepressant preparations"
"42","Antifibrinolytic drugs and haemostatics","Antifibrinolytic drugs and haemostatics","0211000AB","Factor XIII (Recombinant)"
"43","Local anaesthesia","Local anaesthetics","1502010S0","Prilocaine hydrochloride"
"44","Antiepileptic drugs","Control of epilepsy","0408010A0","Levetiracetam"
"45","Antiplatelet drugs","Antiplatelet drugs","0209000Z0","Ticagrelor"
"46","Antibacterial drugs","Cephalosporins and other beta-lactams","0501021A0","Cefaclor"
