"SECTION_DESCR","BNF_CHEMICAL_SUBSTANCE"
"Dyspepsia and gastro-oesophageal reflux disease","010101000"
"Dyspepsia and gastro-oesophageal reflux disease","0101010A0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010C0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010E0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010F0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010G0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010I0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010J0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010L0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010N0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010P0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010Q0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010R0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010S0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010T0"
"Dyspepsia and gastro-oesophageal reflux disease","0101010U0"
"Dyspepsia and gastro-oesophageal reflux disease","0101012A0"
"Dyspepsia and gastro-oesophageal reflux disease","0101012B0"
"Dyspepsia and gastro-oesophageal reflux disease","010102100"
"Dyspepsia and gastro-oesophageal reflux disease","0101021B0"
"Dyspepsia and gastro-oesophageal reflux disease","0101021C0"
"Antispasmodics and other drugs altering gut motility","0102000A0"
"Antispasmodics and other drugs altering gut motility","0102000AC"
"Antispasmodics and other drugs altering gut motility","0102000AJ"
"Antispasmodics and other drugs altering gut motility","0102000AK"
"Antispasmodics and other drugs altering gut motility","0102000C0"
"Antispasmodics and other drugs altering gut motility","0102000D0"
"Antispasmodics and other drugs altering gut motility","0102000G0"
"Antispasmodics and other drugs altering gut motility","0102000H0"
"Antispasmodics and other drugs altering gut motility","0102000J0"
"Antispasmodics and other drugs altering gut motility","0102000K0"
"Antispasmodics and other drugs altering gut motility","0102000L0"
"Antispasmodics and other drugs altering gut motility","0102000N0"
"Antispasmodics and other drugs altering gut motility","0102000P0"
"Antispasmodics and other drugs altering gut motility","0102000R0"
"Antispasmodics and other drugs altering gut motility","0102000T0"
