YM,YEAR,REGION,DRUG,ITEMS,COST
202101,2021,EAST OF ENGLAND,Agomelatine,184,7691.79
202102,2021,EAST OF ENGLAND,Agomelatine,163,6597.38
202103,2021,EAST OF ENGLAND,Agomelatine,177,7545.34
202104,2021,EAST OF ENGLAND,Agomelatine,176,6238.38
202105,2021,EAST OF ENGLAND,Agomelatine,163,6126.3499999999985
202106,2021,EAST OF ENGLAND,Agomelatine,180,6367.360000000005
202107,2021,EAST OF ENGLAND,Agomelatine,169,5660.810000000002
202108,2021,EAST OF ENGLAND,Agomelatine,160,4883.6399999999985
202109,2021,EAST OF ENGLAND,Agomelatine,177,5772.17
202110,2021,EAST OF ENGLAND,Agomelatine,159,4347.459999999996
202111,2021,EAST OF ENGLAND,Agomelatine,187,5503.640000000006
202112,2021,EAST OF ENGLAND,Agomelatine,187,4859.989999999998
202201,2022,EAST OF ENGLAND,Agomelatine,157,4581.5700000000015
202202,2022,EAST OF ENGLAND,Agomelatine,156,4075.310000000002
202203,2022,EAST OF ENGLAND,Agomelatine,174,4585.129999999997
202204,2022,EAST OF ENGLAND,Agomelatine,167,3954.05
202205,2022,EAST OF ENGLAND,Agomelatine,161,3989.7299999999996
202206,2022,EAST OF ENGLAND,Agomelatine,154,3984.9000000000024
202207,2022,EAST OF ENGLAND,Agomelatine,157,3843.210000000004
202208,2022,EAST OF ENGLAND,Agomelatine,175,4283.579999999998
202209,2022,EAST OF ENGLAND,Agomelatine,170,3743.36
202210,2022,EAST OF ENGLAND,Agomelatine,148,3722.260000000001
202211,2022,EAST OF ENGLAND,Agomelatine,169,3706.2999999999984
202212,2022,EAST OF ENGLAND,Agomelatine,161,3588.6500000000033
202301,2023,EAST OF ENGLAND,Agomelatine,159,3605.789999999999
202302,2023,EAST OF ENGLAND,Agomelatine,144,3282.1299999999987
202303,2023,EAST OF ENGLAND,Agomelatine,148,3428.4000000000005
202304,2023,EAST OF ENGLAND,Agomelatine,148,3228.8500000000004
